"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2410,-55,-2.23,NA,NA,745,3.23,0,0
"2","095570","AJ네트웍스",4400,95,2.21,982,4.48,6802,0.65,300,6.82
"3","006840","AK홀딩스",28900,150,0.52,2168,13.33,62448,0.46,750,2.6
"4","054620","APS홀딩스",9050,520,6.1,NA,NA,10530,0.86,0,0
"5","265520","AP시스템",29100,-250,-0.85,671,43.37,7468,3.9,50,0.17
"6","211270","AP위성",16150,200,1.25,51,316.67,5479,2.95,70,0.43
"7","027410","BGF",6490,340,5.53,281,23.1,15699,0.41,110,1.69
"8","282330","BGF리테일",163500,1000,0.62,8763,18.66,36022,4.54,2700,1.65
"9","138930","BNK금융지주",6740,150,2.28,1647,4.09,25415,0.27,360,5.34
"10","001460","BYC",345500,8000,2.37,33265,10.39,517079,0.67,1100,0.32
"11","001465","BYC우",150000,500,0.33,NA,NA,NA,NA,1150,0.77
"12","001040","CJ",94200,2300,2.5,8240,11.43,126448,0.74,1850,1.96
"13","079160","CJ CGV",28400,50,0.18,NA,NA,11590,2.45,0,0
"14","035760","CJ ENM",141400,-800,-0.56,5310,26.63,134364,1.05,1400,0.99
"15","00104K","CJ4우(전환)",74300,1500,2.06,NA,NA,NA,NA,1900,2.56
"16","000120","CJ대한통운",185000,6500,3.64,1349,137.14,131146,1.41,0,0
"17","011150","CJ씨푸드",4760,35,0.74,51,93.33,1781,2.67,0,0
"18","011155","CJ씨푸드1우",37500,0,0,NA,NA,NA,NA,0,0
"19","001045","CJ우",55100,900,1.66,NA,NA,NA,NA,1900,3.45
"20","097950","CJ제일제당",417500,-5000,-1.18,9516,43.87,297949,1.4,3500,0.84
"21","097955","CJ제일제당 우",188000,-500,-0.27,NA,NA,NA,NA,3550,1.89
"22","051500","CJ프레시웨이",24300,-350,-1.42,434,55.99,16967,1.43,250,1.03
"23","058820","CMG제약",4455,15,0.34,25,178.2,1297,3.43,0,0
"24","023460","CNH",2825,-45,-1.57,424,6.66,2811,1,30,1.06
"25","056000","COWON",2860,0,0,NA,NA,1229,2.33,0,0
"26","065770","CS",2740,175,6.82,NA,NA,1155,2.37,0,0
"27","083660","CSA 코스믹",2000,-190,-8.68,NA,NA,836,2.39,0,0
"28","000590","CS홀딩스",60300,1100,1.86,8435,7.15,195584,0.31,500,0.83
"29","012030","DB",868,-9,-1.03,23,37.74,1049,0.83,0,0
"30","367340","DB금융스팩8호",2085,10,0.48,NA,NA,NA,NA,0,0
"31","367360","DB금융스팩9호",2030,0,0,NA,NA,NA,NA,0,0
"32","016610","DB금융투자",5710,40,0.71,1172,4.87,16484,0.35,250,4.38
