"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",4400,95,2.21,206018098000
"2","006840","AK홀딩스","KOSPI","기타금융",28900,150,0.52,382854512900
"3","027410","BGF","KOSPI","기타금융",6490,340,5.53,621201973590
"4","282330","BGF리테일","KOSPI","유통업",163500,1000,0.62,2825918631000
"5","138930","BNK금융지주","KOSPI","기타금융",6740,150,2.28,2196803558040
"6","001460","BYC","KOSPI","섬유의복",345500,8000,2.37,215804482500
"7","001465","BYC우","KOSPI","섬유의복",150000,500,0.33,32307750000
"8","001040","CJ","KOSPI","기타금융",94200,2300,2.5,2748473211600
"9","079160","CJ CGV","KOSPI","서비스업",28400,50,0.18,9.9684e+11
"10","00104K","CJ4우(전환)","KOSPI","기타금융",74300,1500,2.06,314029841600
"11","000120","CJ대한통운","KOSPI","운수창고업",185000,6500,3.64,4220283640000
"12","011150","CJ씨푸드","KOSPI","음식료품",4760,35,0.74,171030479480
"13","011155","CJ씨푸드1우","KOSPI","음식료품",37500,0,0,7.5e+09
"14","001045","CJ우","KOSPI","기타금융",55100,900,1.66,124538287300
"15","097950","CJ제일제당","KOSPI","음식료품",417500,-5000,-1.18,6285122655000
"16","097955","CJ제일제당 우","KOSPI","음식료품",188000,-500,-0.27,249557404000
"17","000590","CS홀딩스","KOSPI","기타금융",60300,1100,1.86,69615264600
"18","012030","DB","KOSPI","서비스업",868,-9,-1.03,174618973844
"19","016610","DB금융투자","KOSPI","증권",5710,40,0.71,242368881190
"20","005830","DB손해보험","KOSPI","보험",45500,200,0.44,3.2214e+12
"21","000990","DB하이텍","KOSPI","전기전자",55300,1100,2.03,2455241916400
"22","000995","DB하이텍1우","KOSPI","전기전자",102000,1500,1.49,11456232000
"23","139130","DGB금융지주","KOSPI","기타금융",8220,120,1.48,1390378747260
"24","001530","DI동일","KOSPI","유통업",176500,-1000,-0.56,435179988500
"25","000210","DL","KOSPI","기타금융",89900,0,0,1388169453800
"26","000215","DL우","KOSPI","기타금융",43700,-550,-1.24,73683225500
"27","375500","DL이앤씨","KOSPI","건설업",124500,500,0.4,2410162881000
"28","37550K","DL이앤씨우","KOSPI","건설업",74300,500,0.68,157061655500
"29","004840","DRB동일","KOSPI","기타금융",6800,-30,-0.44,1.35524e+11
"30","155660","DSR","KOSPI","철강금속",5450,0,0,8.72e+10
"31","069730","DSR제강","KOSPI","철강금속",5320,60,1.14,7.6608e+10
"32","017940","E1","KOSPI","유통업",42300,550,1.32,2.90178e+11
"33","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",6060,80,1.34,868149540000
"34","007700","F&F","KOSPI","섬유의복",130000,-9000,-6.47,2.002e+12
"35","114090","GKL","KOSPI","서비스업",16700,-100,-0.6,1032989689000
"36","078930","GS","KOSPI","기타금융",38950,0,0,3619053973100
"37","006360","GS건설","KOSPI","건설업",43450,1200,2.84,3714578214600
"38","001250","GS글로벌","KOSPI","유통업",2360,0,0,194779683040
"39","007070","GS리테일","KOSPI","유통업",38650,-150,-0.39,2.97605e+12
"40","078935","GS우","KOSPI","기타금융",31950,50,0.16,57025190700
"41","012630","HDC","KOSPI","기타금융",11250,100,0.9,672094361250
"42","039570","HDC아이콘트롤스","KOSPI","건설업",10050,0,0,1.65423e+11
"43","089470","HDC현대EP","KOSPI","화학",6120,-50,-0.81,1.95228e+11
"44","294870","HDC현대산업개발","KOSPI","건설업",30050,850,2.91,1980515266500
"45","011200","HMM","KOSPI","운수창고업",34150,4700,15.96,11295544087700
"46","082740","HSD엔진","KOSPI","기계",8830,530,6.39,358492896260
"47","003560","IHQ","KOSPI","서비스업",2040,-55,-2.63,298320925920
"48","175330","JB금융지주","KOSPI","기타금융",6280,0,0,1237052574320
"49","234080","JW생명과학","KOSPI","의약품",19300,0,0,305606892200
"50","001060","JW중외제약","KOSPI","의약품",29350,-50,-0.17,632196828100
"51","001067","JW중외제약2우B","KOSPI","의약품",63200,-700,-1.1,5879369600
"52","001065","JW중외제약우","KOSPI","의약품",31500,0,0,5590809000
"53","096760","JW홀딩스","KOSPI","기타금융",4830,0,0,330570909060
"54","105560","KB금융","KOSPI","기타금융",53200,600,1.14,22120981344000
"55","002380","KCC","KOSPI","화학",229500,7000,3.15,2039445094500
"56","009070","KCTC","KOSPI","운수창고업",6640,-120,-1.78,1.992e+11
"57","009440","KC그린홀딩스","KOSPI","기타금융",4500,-25,-0.55,100957410000
"58","119650","KC코트렐","KOSPI","기계",9020,-380,-4.04,1.1726e+11
"59","092220","KEC","KOSPI","전기전자",2300,70,3.14,268425962000
"60","016380","KG동부제철","KOSPI","철강금속",13050,350,2.76,1305116105850
"61","016385","KG동부제철우","KOSPI","철강금속",118000,3500,3.06,6299430000
"62","001390","KG케미칼","KOSPI","화학",26950,1050,4.05,373691287200
"63","001940","KISCO홀딩스","KOSPI","철강금속",16900,700,4.32,312250822000
"64","025000","KPX케미칼","KOSPI","화학",61800,700,1.15,2.99112e+11
"65","092230","KPX홀딩스","KOSPI","화학",58200,400,0.69,245874397200
"66","000040","KR모터스","KOSPI","운수장비",1345,-40,-2.89,129304759960
"67","044450","KSS해운","KOSPI","운수창고업",11250,350,3.21,260841150000
"68","030200","KT","KOSPI","통신업",28300,450,1.62,7389464166400
"69","033780","KT&G","KOSPI","기타제조업",80400,-100,-0.12,11038316758800
"70","030210","KTB투자증권","KOSPI","증권",4415,80,1.85,266286716180
"71","058850","KTcs","KOSPI","서비스업",3040,-95,-3.03,129762400000
"72","058860","KTis","KOSPI","서비스업",3000,-35,-1.15,1.04406e+11
"73","093050","LF","KOSPI","섬유의복",16600,350,2.15,4.85384e+11
"74","003550","LG","KOSPI","기타금융",89200,1200,1.36,15392096085200
"75","034220","LG디스플레이","KOSPI","전기전자",21950,50,0.23,7854054615000
"76","001120","LG상사","KOSPI","유통업",30300,850,2.89,1.174428e+12
"77","051900","LG생활건강","KOSPI","화학",1524000,-21000,-1.36,23802132228000
"78","051905","LG생활건강우","KOSPI","화학",695000,10000,1.46,1459289415000
"79","003555","LG우","KOSPI","기타금융",69900,2000,2.95,231695922300
"80","032640","LG유플러스","KOSPI","통신업",12450,350,2.89,5435811444450
"81","011070","LG이노텍","KOSPI","전기전자",205500,1000,0.49,4863590488500
"82","066570","LG전자","KOSPI","전기전자",143000,-5000,-3.38,23401637402000
"83","066575","LG전자우","KOSPI","전기전자",68100,-1400,-2.01,1170366055200
"84","108670","LG하우시스","KOSPI","화학",80900,1100,1.38,725484503000
"85","108675","LG하우시스우","KOSPI","화학",37700,250,0.67,38918841000
"86","037560","LG헬로비전","KOSPI","서비스업",4675,135,2.97,362064093875
"87","051910","LG화학","KOSPI","화학",802000,14000,1.78,56615059086000
"88","051915","LG화학우","KOSPI","화학",372000,6500,1.78,2860233600000
"89","079550","LIG넥스원","KOSPI","기계",38650,150,0.39,8.503e+11
"90","006260","LS","KOSPI","기타금융",66000,2200,3.45,2.1252e+12
"91","010120","LS ELECTRIC","KOSPI","전기전자",59600,1100,1.88,1.788e+12
"92","000680","LS네트웍스","KOSPI","유통업",2820,10,0.36,222224505120
"93","229640","LS전선아시아","KOSPI","기타금융",7670,-30,-0.39,234892821930
"94","023150","MH에탄올","KOSPI","음식료품",8640,160,1.89,63750464640
"95","035420","NAVER","KOSPI","서비스업",383000,3000,0.79,62912880285000
"96","181710","NHN","KOSPI","서비스업",71900,300,0.42,1406725297500
"97","005940","NH투자증권","KOSPI","증권",11500,100,0.88,3236202200500
"98","005945","NH투자증권우","KOSPI","증권",9130,-10,-0.11,172291937840
"99","338100","NH프라임리츠","KOSPI","서비스업",4390,70,1.62,81917400000
"100","034310","NICE","KOSPI","서비스업",17100,0,0,647787330000
"101","008260","NI스틸","KOSPI","철강금속",3390,-15,-0.44,96954396630
"102","004250","NPC","KOSPI","화학",4250,-50,-1.16,1.5606e+11
"103","004255","NPC우","KOSPI","화학",2355,5,0.21,12434400000
"104","010060","OCI","KOSPI","화학",111000,-2000,-1.77,2647280181000
"105","005490","POSCO","KOSPI","철강금속",318000,9500,3.08,27725413530000
"106","010950","S-Oil","KOSPI","화학",81300,2100,2.65,9152980989600
"107","010955","S-Oil우","KOSPI","화학",45800,650,1.44,184204256600
"108","034120","SBS","KOSPI","서비스업",21700,-300,-1.36,396081029400
